#isbn,subtitle,author,copyright,publisher,genre,score,read,format,own,collection,loan,series,series_vol,comment,price,custom,custom2,custom3,custom4,custom5,custom6,customDate,customSwitch,link,tags,customFloat,customInt,pages,location,lcc,ddc,recordUUID,title
9780375815058,"","P. D Eastman; Philip D. Eastman; Désirée Márquez",01-01-2001,"Random House","Juvenile Fiction / Readers / Beginner",0.000000,,"book",0,"","","Bright and Early Board Books",0.000000,"",0.000000,"","","","","","",03-21-2022,0,"","",0.000000,0,24,"New York","PZ10.3.E27","[E]","5CE93800-096C-4A31-A47A-DD8A237F4A98","¿Eres Mi Mamá?"
9781728237589,"","Clement Clarke Moore; Jo Parry",01-01-2021,"Sourcebooks, Incorporated","Juvenile Fiction / People & Places / General",0.000000,,"book",0,"","","",0.000000,"",0.000000,"","","","","","",01-24-2022,0,"","",0.000000,0,40,"Naperville, Illinois","","","3688E2BD-67EB-4307-AD76-0674F6165DDB","'Twas the Night Before Christmas in Canada"
9781467709354,"","Laurie B. Friedman; Laurie Friedman; Jennifer Kalis",01-01-2013,"Darby Creek","Juvenile Fiction / Social Issues / Friendship",0.000000,,"book",0,"","","Mallory ;",19.000000,"",0.000000,"","","","","","",07-21-2022,0,"","",0.000000,0,160,"Minneapolis","PZ7.F89773","[Fic]","06E83166-78EA-4565-9371-94CD9D67AC37","#19 Mallory and Mary Ann Take New York"
9781646862832,"","Nelleke Verhoeff",01-01-2021,"Barefoot Books","",0.000000,,"book",0,"","","",0.000000,"",0.000000,"","","","","","",04-07-2022,0,"","",0.000000,0,24,"Cambridge, MA","","813.6","3365D997-5487-4E0E-B40C-C4175A5A9316","1 Smile, 10 Toes"
9780734417978,"","Jennifer Cossins",01-01-2017,"Hachette Australia","Juvenile Nonfiction / Science & Nature / Zoology",0.000000,,"book",0,"","","",0.000000,"",0.000000,"","","","","","",03-21-2022,0,"","",0.000000,0,112,"Sydney, N.S.W.","","428.1","6E0FEA46-33BB-4923-81C2-3EC140160414","101 Collective Nouns"
9780061664656,"","Lemony Snicket",01-01-2010,"HarperCollins","Juvenile Fiction / General",0.000000,,"book",0,"","","",0.000000,"",0.000000,"","","","","","",02-24-2023,0,"","",0.000000,0,40,"","","","277FA1CA-C206-4024-A336-AC9E5EB2C079","13 Words"
9781773214849,"","Sara de Wall",01-01-2021,"Annick Press, Limited","JUVENILE FICTION / Imagination & Play",0.000000,,"book",0,"","","",0.000000,"",0.000000,"","","","","","",12-23-2022,0,"","",0.000000,0,40,"","","","483F15D7-E0AE-4C65-88B5-D83BA59EA417","48 Grasshopper Estates"
9788129137258,"","Terry O'Brien",01-01-2015,"Rupa","Fiction / Anthologies (multiple authors)",0.000000,,"book",0,"","","",0.000000,"",0.000000,"","","","","","",05-29-2023,0,"","",0.000000,0,600,"","","","6D767B54-D50A-4C2A-B474-6EB510756E6C","50 Greatest Short Stories"
9781534410442,"","Juleah del Rosario",01-01-2018,"Simon & Schuster Books for Young Readers","Juvenile Fiction / General",0.000000,,"book",0,"","","",0.000000,"",0.000000,"","","","","","",08-17-2023,0,"","",0.000000,0,384,"","","","E5EE3EAF-2FCE-452F-A798-CF4C465BDC41","500 Words or Less"
9780374312862,"","Dashka Slater",01-01-2020,"Farrar, Straus and Giroux (BYR)","Juvenile Fiction / Books & Libraries",0.000000,,"book",0,"","","",0.000000,"",0.000000,"","","","","","",08-09-2023,0,"","",0.000000,0,40,"","","","92BDB964-D6E6-487B-98AD-B09B1ABAC1AC","A Book for Escargot"
